event_id,magnitude,avg_magnitude,std_magnitude,peak_acceleration,duration_ms,sample_count,sta_lta_ratio,label
1,0.570743,0.058506,0.130582,0.570743,54900.0,550.0,26.2261,earthquake
2,1.303111,0.09368,0.246388,1.303111,54900.0,550.0,41.8696,earthquake
3,0.691359,0.065642,0.141458,0.691359,54900.0,550.0,23.1387,earthquake
4,1.160335,0.086932,0.225194,1.160335,54900.0,550.0,38.9349,earthquake
5,1.736314,0.114388,0.332217,1.736314,54900.0,550.0,65.1704,earthquake
6,1.899259,0.109318,0.338566,1.899259,54900.0,550.0,112.4467,earthquake
7,1.435474,0.094311,0.257465,1.435474,54900.0,550.0,48.6947,earthquake
8,1.304979,0.095703,0.263756,1.304979,54900.0,550.0,53.4155,earthquake
9,0.825128,0.071409,0.162433,0.825128,54900.0,550.0,26.1783,earthquake
10,1.48543,0.098405,0.293976,1.48543,54900.0,550.0,86.8181,earthquake
11,1.328213,0.078814,0.238343,1.328213,54900.0,550.0,100.6119,earthquake
12,0.6324,0.061516,0.13147,0.6324,54900.0,550.0,22.6514,earthquake
13,0.605911,0.056047,0.128276,0.605911,54900.0,550.0,28.6632,earthquake
14,1.255671,0.077083,0.219022,1.255671,54900.0,550.0,66.8573,earthquake
15,1.245006,0.090178,0.237942,1.245006,54900.0,550.0,43.3984,earthquake
16,1.061962,0.075026,0.203596,1.061962,54900.0,550.0,53.8475,earthquake
17,1.699458,0.104123,0.314819,1.699458,54900.0,550.0,93.6113,earthquake
18,0.740647,0.060137,0.153092,0.740647,54900.0,550.0,41.816,earthquake
19,1.663994,0.112392,0.307303,1.663994,54900.0,550.0,46.4385,earthquake
20,1.798709,0.118435,0.331363,1.798709,54900.0,550.0,49.634,earthquake
21,1.462058,0.091673,0.268528,1.462058,54900.0,550.0,73.3426,earthquake
22,0.765733,0.062577,0.154393,0.765733,54900.0,550.0,36.1179,earthquake
23,1.672533,0.105911,0.314821,1.672533,54900.0,550.0,83.5196,earthquake
24,0.855862,0.069858,0.17434,0.855862,54900.0,550.0,36.5437,earthquake
25,1.133199,0.081991,0.215449,1.133199,54900.0,550.0,42.7065,earthquake
26,1.391364,0.087392,0.25323,1.391364,54900.0,550.0,69.0915,earthquake
27,1.745348,0.11305,0.329924,1.745348,54900.0,550.0,65.0395,earthquake
28,1.152287,0.083705,0.217071,1.152287,54900.0,550.0,40.075,earthquake
29,1.537349,0.104965,0.282659,1.537349,54900.0,550.0,44.4,earthquake
30,0.800901,0.065838,0.158296,0.800901,54900.0,550.0,32.7002,earthquake
31,1.471809,0.093229,0.279892,1.471809,54900.0,550.0,94.3252,earthquake
32,0.799195,0.070889,0.15937,0.799195,54900.0,550.0,25.6233,earthquake
33,1.22359,0.088723,0.236319,1.22359,54900.0,550.0,44.8417,earthquake
34,1.798804,0.111683,0.322229,1.798804,54900.0,550.0,60.0726,earthquake
35,0.545828,0.057976,0.128144,0.545828,54900.0,550.0,25.6026,earthquake
36,0.926383,0.06914,0.184499,0.926383,54900.0,550.0,49.8948,earthquake
37,1.057652,0.079025,0.195421,1.057652,54900.0,550.0,33.7091,earthquake
38,0.59618,0.049427,0.131797,0.59618,54900.0,550.0,55.3003,earthquake
39,1.327117,0.090163,0.246636,1.327117,54900.0,550.0,50.8521,earthquake
40,1.053643,0.080075,0.211825,1.053643,54900.0,550.0,44.8389,earthquake
41,1.023909,0.081692,0.198247,1.023909,54900.0,550.0,31.1465,earthquake
42,0.924733,0.070908,0.191765,0.924733,54900.0,550.0,52.9406,earthquake
43,1.48746,0.094253,0.280006,1.48746,54900.0,550.0,82.3421,earthquake
44,1.678354,0.106405,0.309706,1.678354,54900.0,550.0,66.104,earthquake
45,0.942536,0.071745,0.191625,0.942536,54900.0,550.0,47.9638,earthquake
46,1.027811,0.078692,0.211182,1.027811,54900.0,550.0,49.2108,earthquake
47,1.412119,0.098055,0.268614,1.412119,54900.0,550.0,50.6289,earthquake
48,1.179027,0.077841,0.230976,1.179027,54900.0,550.0,89.1862,earthquake
49,1.454149,0.097258,0.277019,1.454149,54900.0,550.0,64.5095,earthquake
50,1.550948,0.099774,0.298704,1.550948,54900.0,550.0,84.4922,earthquake
51,0.521419,0.049986,0.118956,0.521419,54900.0,550.0,33.1118,earthquake
52,1.368605,0.093192,0.265235,1.368605,54900.0,550.0,64.0371,earthquake
53,0.879176,0.065718,0.185724,0.879176,54900.0,550.0,70.7553,earthquake
54,1.029999,0.074861,0.203518,1.029999,54900.0,550.0,53.131,earthquake
55,1.196719,0.083804,0.230052,1.196719,54900.0,550.0,52.1866,earthquake
56,0.729597,0.068444,0.149929,0.729597,54900.0,550.0,23.818,earthquake
57,0.62017,0.053637,0.133821,0.62017,54900.0,550.0,39.5886,earthquake
58,1.363358,0.096692,0.251232,1.363358,54900.0,550.0,38.8731,earthquake
59,1.826592,0.108136,0.338576,1.826592,54900.0,550.0,126.3075,earthquake
60,0.908468,0.069258,0.17413,0.908468,54900.0,550.0,36.7399,earthquake
61,1.465245,0.093168,0.272192,1.465245,54900.0,550.0,74.0163,earthquake
62,1.630546,0.112952,0.31301,1.630546,54900.0,550.0,50.8269,earthquake
63,0.943689,0.068769,0.194188,0.943689,54900.0,550.0,68.9533,earthquake
64,1.010103,0.077392,0.204152,1.010103,54900.0,550.0,45.9184,earthquake
65,0.893025,0.06756,0.186941,0.893025,54900.0,550.0,61.3083,earthquake
66,1.257327,0.085525,0.22409,1.257327,54900.0,550.0,41.7956,earthquake
67,0.799923,0.063859,0.164966,0.799923,54900.0,550.0,44.4743,earthquake
68,1.281946,0.087779,0.248933,1.281946,54900.0,550.0,66.4381,earthquake
69,0.769754,0.064325,0.161131,0.769754,54900.0,550.0,37.8373,earthquake
70,1.556186,0.103786,0.290831,1.556186,54900.0,550.0,56.3918,earthquake
71,0.557933,0.048908,0.128996,0.557933,54900.0,550.0,53.0191,earthquake
72,1.078291,0.079819,0.210847,1.078291,54900.0,550.0,43.4842,earthquake
73,1.257165,0.090928,0.24559,1.257165,54900.0,550.0,46.6001,earthquake
74,0.463042,0.053892,0.109653,0.463042,54900.0,550.0,20.394,earthquake
75,1.246983,0.088488,0.223389,1.246983,54900.0,550.0,35.2312,earthquake
76,1.155048,0.081135,0.226336,1.155048,54900.0,550.0,58.4026,earthquake
77,1.188233,0.081798,0.233815,1.188233,54900.0,550.0,69.3886,earthquake
78,1.485468,0.096581,0.290273,1.485468,54900.0,550.0,96.6328,earthquake
79,1.308975,0.089089,0.240701,1.308975,54900.0,550.0,47.3274,earthquake
80,1.306962,0.089351,0.244456,1.306962,54900.0,550.0,50.1952,earthquake
81,1.689306,0.099326,0.301056,1.689306,54900.0,550.0,94.4204,earthquake
82,0.728636,0.057658,0.152788,0.728636,54900.0,550.0,50.9139,earthquake
83,1.486677,0.094357,0.25471,1.486677,54900.0,550.0,45.3813,earthquake
84,0.607747,0.052316,0.134103,0.607747,54900.0,550.0,44.4909,earthquake
85,0.610368,0.051431,0.135028,0.610368,54900.0,550.0,49.9206,earthquake
86,0.908678,0.075602,0.178322,0.908678,54900.0,550.0,29.6303,earthquake
87,0.62345,0.054069,0.130799,0.62345,54900.0,550.0,34.6907,earthquake
88,1.525276,0.104191,0.283014,1.525276,54900.0,550.0,45.9184,earthquake
89,1.517887,0.098746,0.287245,1.517887,54900.0,550.0,67.9056,earthquake
90,0.625853,0.051265,0.131377,0.625853,54900.0,550.0,44.8554,earthquake
91,1.67115,0.109794,0.30266,1.67115,54900.0,550.0,48.2034,earthquake
92,1.291069,0.091073,0.249409,1.291069,54900.0,550.0,50.9269,earthquake
93,0.919968,0.073543,0.17837,0.919968,54900.0,550.0,32.6131,earthquake
94,0.782687,0.070892,0.159626,0.782687,54900.0,550.0,25.861,earthquake
95,1.685329,0.103329,0.306058,1.685329,54900.0,550.0,76.2395,earthquake
96,1.062137,0.081288,0.214619,1.062137,54900.0,550.0,44.0286,earthquake
97,1.699757,0.111824,0.308266,1.699757,54900.0,550.0,48.2371,earthquake
98,1.773426,0.108301,0.33754,1.773426,54900.0,550.0,127.1648,earthquake
99,1.314025,0.085845,0.249026,1.314025,54900.0,550.0,71.6764,earthquake
100,1.164604,0.080047,0.23251,1.164604,54900.0,550.0,73.9456,earthquake
101,1.52551,0.105276,0.284349,1.52551,54900.0,550.0,44.0206,earthquake
102,1.512958,0.096693,0.26822,1.512958,54900.0,550.0,51.1492,earthquake
103,0.940614,0.065382,0.182466,0.940614,54900.0,550.0,66.2199,earthquake
104,1.712088,0.103021,0.313483,1.712088,54900.0,550.0,92.4227,earthquake
105,1.747239,0.108136,0.323671,1.747239,54900.0,550.0,85.3592,earthquake
106,1.462489,0.100746,0.287064,1.462489,54900.0,550.0,61.1014,earthquake
107,1.032459,0.076735,0.195674,1.032459,54900.0,550.0,38.0688,earthquake
108,1.167532,0.08357,0.216323,1.167532,54900.0,550.0,40.2977,earthquake
109,1.449024,0.091671,0.265801,1.449024,54900.0,550.0,70.0204,earthquake
110,1.166854,0.084526,0.221753,1.166854,54900.0,550.0,42.3769,earthquake
111,1.178384,0.084834,0.231085,1.178384,54900.0,550.0,49.028,earthquake
112,0.986578,0.0791,0.194595,0.986578,54900.0,550.0,33.2129,earthquake
113,1.811473,0.107906,0.328058,1.811473,54900.0,550.0,100.2987,earthquake
114,0.776426,0.067194,0.164303,0.776426,54900.0,550.0,33.9648,earthquake
115,0.866454,0.059882,0.165113,0.866454,54900.0,550.0,62.1482,earthquake
116,0.941478,0.066939,0.184615,0.941478,54900.0,550.0,59.1733,earthquake
117,1.42006,0.097672,0.27585,1.42006,54900.0,550.0,56.3851,earthquake
118,1.822258,0.112434,0.340669,1.822258,54900.0,550.0,90.693,earthquake
119,1.342025,0.09441,0.258553,1.342025,54900.0,550.0,50.727,earthquake
120,1.3184,0.086526,0.248246,1.3184,54900.0,550.0,68.597,earthquake
121,0.477932,0.053989,0.110623,0.477932,54900.0,550.0,20.8023,earthquake
122,1.127535,0.080576,0.229644,1.127535,54900.0,550.0,68.5842,earthquake
123,0.710074,0.057055,0.151102,0.710074,54900.0,550.0,51.8195,earthquake
124,1.691211,0.113875,0.313269,1.691211,54900.0,550.0,49.114,earthquake
125,1.722462,0.107617,0.328777,1.722462,54900.0,550.0,98.4303,earthquake
126,1.576619,0.098248,0.298312,1.576619,54900.0,550.0,98.5598,earthquake
127,1.318095,0.093866,0.24888,1.318095,54900.0,550.0,42.659,earthquake
128,0.747464,0.066825,0.157407,0.747464,54900.0,550.0,30.6671,earthquake
129,0.723638,0.067818,0.148945,0.723638,54900.0,550.0,24.1465,earthquake
130,1.611411,0.101332,0.303687,1.611411,54900.0,550.0,87.064,earthquake
131,1.129758,0.078713,0.220801,1.129758,54900.0,550.0,61.0921,earthquake
132,0.873098,0.072212,0.187344,0.873098,54900.0,550.0,43.2039,earthquake
133,0.62734,0.055891,0.135141,0.62734,54900.0,550.0,34.2994,earthquake
134,0.619381,0.051401,0.138053,0.619381,54900.0,550.0,57.1683,earthquake
135,1.601216,0.108576,0.298293,1.601216,54900.0,550.0,49.0904,earthquake
136,1.620634,0.105443,0.30294,1.620634,54900.0,550.0,63.7878,earthquake
137,0.886854,0.070797,0.170857,0.886854,54900.0,550.0,31.8492,earthquake
138,1.490578,0.094248,0.284086,1.490578,54900.0,550.0,95.3115,earthquake
139,0.701147,0.057988,0.151786,0.701147,54900.0,550.0,47.7741,earthquake
140,1.705057,0.110424,0.318799,1.705057,54900.0,550.0,63.5094,earthquake
141,1.551169,0.10083,0.299028,1.551169,54900.0,550.0,80.4562,earthquake
142,1.472489,0.094164,0.287238,1.472489,54900.0,550.0,104.9478,earthquake
143,1.586662,0.106621,0.30046,1.586662,54900.0,550.0,56.6902,earthquake
144,0.933395,0.070337,0.18596,0.933395,54900.0,550.0,46.9238,earthquake
145,1.304288,0.09147,0.246994,1.304288,54900.0,550.0,45.6397,earthquake
