event_id,magnitude,avg_magnitude,std_magnitude,peak_acceleration,duration_ms,sample_count,sta_lta_ratio,label
1,0.024557,0.01682,0.004025,0.024557,54900.0,550.0,0.9625,noise
2,0.025986,0.018309,0.004093,0.025986,54900.0,550.0,0.977,noise
3,0.027183,0.01902,0.003985,0.027183,54900.0,550.0,1.0112,noise
4,0.02203,0.014812,0.004055,0.02203,54900.0,550.0,0.9815,noise
5,0.02208,0.013531,0.004101,0.02208,54900.0,550.0,1.0245,noise
6,0.022508,0.014566,0.004081,0.022508,54900.0,550.0,0.9929,noise
7,0.017828,0.010764,0.003942,0.017828,54900.0,550.0,0.9887,noise
8,0.024467,0.016757,0.004044,0.024467,54900.0,550.0,1.0361,noise
9,0.024573,0.017501,0.003963,0.024573,54900.0,550.0,0.9853,noise
10,0.017675,0.010178,0.004115,0.017675,54900.0,550.0,1.1,noise
11,0.027125,0.019444,0.004021,0.027125,54900.0,550.0,1.0187,noise
12,0.016913,0.009604,0.003986,0.016913,54900.0,550.0,0.9921,noise
13,0.024768,0.016869,0.004022,0.024768,54900.0,550.0,0.9532,noise
14,0.020387,0.013145,0.004051,0.020387,54900.0,550.0,1.0149,noise
15,0.022734,0.015178,0.0041,0.022734,54900.0,550.0,0.99,noise
16,0.017544,0.010364,0.004028,0.017544,54900.0,550.0,1.0987,noise
17,0.025617,0.017276,0.003974,0.025617,54900.0,550.0,1.086,noise
18,0.018948,0.0118,0.004011,0.018948,54900.0,550.0,0.8974,noise
19,0.020592,0.013532,0.003913,0.020592,54900.0,550.0,1.0667,noise
20,0.018774,0.010856,0.003997,0.018774,54900.0,550.0,1.0331,noise
21,0.01954,0.012357,0.004123,0.01954,54900.0,550.0,1.0197,noise
22,0.026828,0.019345,0.004014,0.026828,54900.0,550.0,0.9827,noise
23,0.016864,0.008402,0.0041,0.016864,54900.0,550.0,0.9869,noise
24,0.023769,0.016482,0.004142,0.023769,54900.0,550.0,1.0477,noise
25,0.019793,0.012344,0.003969,0.019793,54900.0,550.0,0.9637,noise
