magnitude,avg_magnitude,std_magnitude,peak_acceleration,duration_ms,sample_count,sta_lta_ratio,label
0.026115,0.018782,0.004051,0.026115,54900.0,550.0,1.0188,noise
0.028453,0.019957,0.003906,0.028453,54900.0,550.0,1.0176,noise
1.268553,0.089618,0.245146,1.268553,54900.0,550.0,51.7082,earthquake
0.022378,0.015022,0.004062,0.022378,54900.0,550.0,0.9969,noise
0.701147,0.057988,0.151786,0.701147,54900.0,550.0,47.7741,earthquake
1.290716,0.092898,0.241486,1.290716,54900.0,550.0,38.9788,earthquake
0.125708,0.051,0.024135,0.125708,54900.0,550.0,1.4593,unknown
1.456315,0.097746,0.278056,1.456315,54900.0,550.0,63.0404,earthquake
1.538225,0.10765,0.288607,1.538225,54900.0,550.0,43.0337,earthquake
0.166181,0.064026,0.032885,0.166181,54900.0,550.0,1.8175,unknown
0.023967,0.016025,0.004123,0.023967,54900.0,550.0,0.983,noise
1.304288,0.09147,0.246994,1.304288,54900.0,550.0,45.6397,earthquake
1.42006,0.097672,0.27585,1.42006,54900.0,550.0,56.3851,earthquake
0.026374,0.018629,0.003938,0.026374,54900.0,550.0,0.9627,noise
0.022033,0.014044,0.004023,0.022033,54900.0,550.0,1.0016,noise
1.462058,0.091673,0.268528,1.462058,54900.0,550.0,73.3426,earthquake
0.024204,0.016554,0.004072,0.024204,54900.0,550.0,1.0514,noise
0.02544,0.018066,0.003971,0.02544,54900.0,550.0,0.9795,noise
0.015534,0.007907,0.003976,0.015534,54900.0,550.0,1.1574,noise
0.153947,0.065033,0.026509,0.153947,54900.0,550.0,1.6332,unknown
0.556117,0.050975,0.120881,0.556117,54900.0,550.0,32.436,earthquake
0.773964,0.058421,0.15511,0.773964,54900.0,550.0,50.9864,earthquake
0.025351,0.017724,0.004027,0.025351,54900.0,550.0,0.9817,noise
0.15793,0.046434,0.032592,0.15793,54900.0,550.0,1.8788,unknown
1.027811,0.078692,0.211182,1.027811,54900.0,550.0,49.2108,earthquake
0.018263,0.011249,0.004027,0.018263,54900.0,550.0,0.9554,noise
1.486677,0.094357,0.25471,1.486677,54900.0,550.0,45.3813,earthquake
0.118436,0.041982,0.023776,0.118436,54900.0,550.0,2.1837,unknown
0.025879,0.018029,0.004046,0.025879,54900.0,550.0,0.9806,noise
0.153927,0.062553,0.029757,0.153927,54900.0,550.0,1.5526,unknown
0.018244,0.010548,0.004031,0.018244,54900.0,550.0,1.039,noise
0.018244,0.010287,0.003971,0.018244,54900.0,550.0,1.0091,noise
0.941933,0.076206,0.188286,0.941933,54900.0,550.0,34.6684,earthquake
0.121794,0.04177,0.025564,0.121794,54900.0,550.0,1.9626,unknown
1.368605,0.093192,0.265235,1.368605,54900.0,550.0,64.0371,earthquake
1.611411,0.101332,0.303687,1.611411,54900.0,550.0,87.064,earthquake
0.154098,0.061507,0.027511,0.154098,54900.0,550.0,1.6091,unknown
0.154412,0.058024,0.030441,0.154412,54900.0,550.0,1.5496,unknown
0.62345,0.054069,0.130799,0.62345,54900.0,550.0,34.6907,earthquake
0.712492,0.056849,0.147667,0.712492,54900.0,550.0,45.1125,earthquake
1.272565,0.088,0.253177,1.272565,54900.0,550.0,70.2851,earthquake
