event_id,magnitude,avg_magnitude,std_magnitude,peak_acceleration,duration_ms,sample_count,sta_lta_ratio,label
1,0.133849,0.042064,0.025627,0.133849,54900.0,550.0,1.5179,unknown
2,0.188144,0.06472,0.037686,0.188144,54900.0,550.0,1.6946,unknown
3,0.17799,0.060623,0.034926,0.17799,54900.0,550.0,1.442,unknown
4,0.172018,0.062323,0.034986,0.172018,54900.0,550.0,2.0289,unknown
5,0.1774,0.067333,0.033951,0.1774,54900.0,550.0,1.4812,unknown
6,0.177421,0.055647,0.0357,0.177421,54900.0,550.0,1.7578,unknown
7,0.196136,0.073842,0.039839,0.196136,54900.0,550.0,2.1187,unknown
8,0.137597,0.045898,0.029343,0.137597,54900.0,550.0,1.94,unknown
9,0.116459,0.038719,0.021842,0.116459,54900.0,550.0,1.624,unknown
10,0.194455,0.055094,0.035387,0.194455,54900.0,550.0,1.2894,unknown
11,0.155298,0.054006,0.029234,0.155298,54900.0,550.0,1.3629,unknown
12,0.194804,0.073932,0.039237,0.194804,54900.0,550.0,1.6887,unknown
13,0.168888,0.063198,0.029244,0.168888,54900.0,550.0,1.3811,unknown
14,0.192663,0.068476,0.035198,0.192663,54900.0,550.0,1.5204,unknown
15,0.153549,0.053291,0.031336,0.153549,54900.0,550.0,1.8897,unknown
16,0.154769,0.055405,0.030611,0.154769,54900.0,550.0,1.8075,unknown
17,0.130282,0.048391,0.025839,0.130282,54900.0,550.0,1.795,unknown
18,0.163436,0.070915,0.033847,0.163436,54900.0,550.0,1.6694,unknown
19,0.183907,0.054406,0.035663,0.183907,54900.0,550.0,1.9557,unknown
20,0.150116,0.055918,0.028777,0.150116,54900.0,550.0,2.0208,unknown
21,0.171007,0.058321,0.034645,0.171007,54900.0,550.0,1.5402,unknown
22,0.184752,0.051444,0.032506,0.184752,54900.0,550.0,1.3318,unknown
23,0.188194,0.060705,0.033539,0.188194,54900.0,550.0,1.7585,unknown
24,0.154275,0.055839,0.030163,0.154275,54900.0,550.0,2.1557,unknown
25,0.161915,0.053117,0.031593,0.161915,54900.0,550.0,1.8451,unknown
26,0.164559,0.056368,0.029252,0.164559,54900.0,550.0,1.604,unknown
27,0.121794,0.04177,0.025564,0.121794,54900.0,550.0,1.9626,unknown
28,0.167188,0.057103,0.033517,0.167188,54900.0,550.0,2.0346,unknown
29,0.164006,0.058948,0.030256,0.164006,54900.0,550.0,1.5564,unknown
30,0.1331,0.052134,0.026055,0.1331,54900.0,550.0,1.8214,unknown
31,0.154537,0.05609,0.032527,0.154537,54900.0,550.0,2.1128,unknown
32,0.132299,0.040488,0.025426,0.132299,54900.0,550.0,1.5035,unknown
33,0.191798,0.058656,0.033292,0.191798,54900.0,550.0,1.544,unknown
34,0.163489,0.056906,0.031229,0.163489,54900.0,550.0,2.0884,unknown
35,0.199756,0.075354,0.040217,0.199756,54900.0,550.0,1.4051,unknown
36,0.134834,0.048264,0.026233,0.134834,54900.0,550.0,1.4556,unknown
37,0.163361,0.069362,0.02666,0.163361,54900.0,550.0,1.5156,unknown
38,0.174764,0.060324,0.035418,0.174764,54900.0,550.0,2.1314,unknown
39,0.175892,0.061234,0.032544,0.175892,54900.0,550.0,2.0445,unknown
40,0.161095,0.054792,0.030077,0.161095,54900.0,550.0,1.201,unknown
41,0.194422,0.056655,0.036983,0.194422,54900.0,550.0,1.7316,unknown
42,0.129296,0.048538,0.025479,0.129296,54900.0,550.0,2.0327,unknown
43,0.158524,0.047664,0.029252,0.158524,54900.0,550.0,2.004,unknown
44,0.128856,0.044757,0.023395,0.128856,54900.0,550.0,2.0078,unknown
45,0.147885,0.04357,0.027356,0.147885,54900.0,550.0,1.9208,unknown
46,0.125755,0.043736,0.023055,0.125755,54900.0,550.0,1.5017,unknown
47,0.16984,0.063915,0.031506,0.16984,54900.0,550.0,1.9557,unknown
48,0.180949,0.064581,0.033497,0.180949,54900.0,550.0,1.6754,unknown
49,0.183618,0.072741,0.036979,0.183618,54900.0,550.0,1.7725,unknown
50,0.150504,0.050903,0.027262,0.150504,54900.0,550.0,1.608,unknown
51,0.130132,0.048229,0.026945,0.130132,54900.0,550.0,1.652,unknown
52,0.175431,0.063569,0.033325,0.175431,54900.0,550.0,1.907,unknown
53,0.154348,0.05046,0.029938,0.154348,54900.0,550.0,2.1806,unknown
54,0.172164,0.063907,0.032519,0.172164,54900.0,550.0,1.5788,unknown
55,0.115455,0.047684,0.0222,0.115455,54900.0,550.0,1.5092,unknown
56,0.14996,0.049539,0.028994,0.14996,54900.0,550.0,1.7341,unknown
57,0.174651,0.054469,0.034623,0.174651,54900.0,550.0,1.7467,unknown
58,0.112201,0.041641,0.019904,0.112201,54900.0,550.0,1.6034,unknown
59,0.140104,0.053826,0.023923,0.140104,54900.0,550.0,1.353,unknown
60,0.145429,0.051872,0.026255,0.145429,54900.0,550.0,1.9692,unknown
61,0.148963,0.0599,0.02831,0.148963,54900.0,550.0,1.9235,unknown
62,0.138298,0.053655,0.025795,0.138298,54900.0,550.0,1.3653,unknown
63,0.155582,0.069813,0.028449,0.155582,54900.0,550.0,1.5365,unknown
64,0.161146,0.064393,0.030405,0.161146,54900.0,550.0,1.8752,unknown
65,0.148588,0.061295,0.028777,0.148588,54900.0,550.0,1.8859,unknown
66,0.142183,0.056612,0.030006,0.142183,54900.0,550.0,1.5551,unknown
67,0.134768,0.058233,0.024499,0.134768,54900.0,550.0,1.5058,unknown
68,0.151509,0.049077,0.029233,0.151509,54900.0,550.0,2.1615,unknown
69,0.153058,0.040935,0.028099,0.153058,54900.0,550.0,1.5111,unknown
70,0.173631,0.053932,0.031847,0.173631,54900.0,550.0,1.4664,unknown
71,0.152155,0.061106,0.029192,0.152155,54900.0,550.0,1.6624,unknown
72,0.149797,0.06223,0.031029,0.149797,54900.0,550.0,1.5121,unknown
73,0.169665,0.048093,0.03146,0.169665,54900.0,550.0,1.3297,unknown
74,0.115029,0.039914,0.0215,0.115029,54900.0,550.0,2.2407,unknown
75,0.167813,0.068346,0.029958,0.167813,54900.0,550.0,1.8184,unknown
76,0.164512,0.055602,0.033368,0.164512,54900.0,550.0,1.8655,unknown
77,0.181039,0.053038,0.036201,0.181039,54900.0,550.0,1.6892,unknown
78,0.146986,0.045541,0.030673,0.146986,54900.0,550.0,1.8773,unknown
79,0.173384,0.06621,0.030965,0.173384,54900.0,550.0,1.568,unknown
80,0.141832,0.043114,0.029443,0.141832,54900.0,550.0,2.1888,unknown
81,0.15357,0.047874,0.03405,0.15357,54900.0,550.0,2.065,unknown
82,0.201053,0.072839,0.036971,0.201053,54900.0,550.0,1.641,unknown
83,0.156696,0.058527,0.030484,0.156696,54900.0,550.0,2.0528,unknown
84,0.184587,0.066427,0.034746,0.184587,54900.0,550.0,1.5274,unknown
85,0.135079,0.046757,0.026017,0.135079,54900.0,550.0,1.6062,unknown
86,0.152982,0.054235,0.028243,0.152982,54900.0,550.0,1.7675,unknown
87,0.149354,0.054312,0.028468,0.149354,54900.0,550.0,1.7927,unknown
88,0.124244,0.044752,0.025745,0.124244,54900.0,550.0,1.6548,unknown
89,0.205253,0.066139,0.039693,0.205253,54900.0,550.0,1.675,unknown
90,0.162742,0.056899,0.030636,0.162742,54900.0,550.0,1.6719,unknown
91,0.172163,0.073107,0.034709,0.172163,54900.0,550.0,1.4969,unknown
92,0.161893,0.065718,0.030441,0.161893,54900.0,550.0,1.5739,unknown
93,0.168524,0.055956,0.033926,0.168524,54900.0,550.0,1.7154,unknown
94,0.179228,0.058218,0.034787,0.179228,54900.0,550.0,2.0419,unknown
95,0.158787,0.062785,0.031384,0.158787,54900.0,550.0,2.0391,unknown
96,0.194284,0.066509,0.037602,0.194284,54900.0,550.0,1.7884,unknown
97,0.141201,0.058583,0.027678,0.141201,54900.0,550.0,1.9728,unknown
98,0.169281,0.057197,0.036251,0.169281,54900.0,550.0,2.1657,unknown
99,0.120399,0.039353,0.022764,0.120399,54900.0,550.0,2.1086,unknown
100,0.140792,0.04527,0.029669,0.140792,54900.0,550.0,2.3837,unknown
101,0.16759,0.063704,0.030073,0.16759,54900.0,550.0,1.3576,unknown
102,0.163542,0.061419,0.032598,0.163542,54900.0,550.0,1.831,unknown
103,0.158121,0.06512,0.032641,0.158121,54900.0,550.0,1.6412,unknown
104,0.196321,0.074641,0.040359,0.196321,54900.0,550.0,1.7035,unknown
105,0.158548,0.063814,0.027409,0.158548,54900.0,550.0,1.5798,unknown
106,0.176161,0.070401,0.031483,0.176161,54900.0,550.0,1.4516,unknown
107,0.153927,0.062553,0.029757,0.153927,54900.0,550.0,1.5526,unknown
108,0.212111,0.071208,0.037004,0.212111,54900.0,550.0,1.4755,unknown
109,0.180225,0.067824,0.029335,0.180225,54900.0,550.0,1.9731,unknown
110,0.16466,0.052064,0.033189,0.16466,54900.0,550.0,1.8653,unknown
111,0.145176,0.056592,0.030986,0.145176,54900.0,550.0,2.0184,unknown
112,0.166712,0.065551,0.033399,0.166712,54900.0,550.0,1.9232,unknown
113,0.169307,0.0527,0.033238,0.169307,54900.0,550.0,2.1146,unknown
114,0.174019,0.069762,0.035078,0.174019,54900.0,550.0,1.8831,unknown
115,0.153947,0.065033,0.026509,0.153947,54900.0,550.0,1.6332,unknown
116,0.185652,0.068219,0.038893,0.185652,54900.0,550.0,1.492,unknown
117,0.165438,0.067036,0.030777,0.165438,54900.0,550.0,1.7864,unknown
118,0.196585,0.067316,0.035847,0.196585,54900.0,550.0,1.3337,unknown
119,0.150548,0.049063,0.031693,0.150548,54900.0,550.0,2.0337,unknown
120,0.177493,0.054249,0.036033,0.177493,54900.0,550.0,2.1796,unknown
121,0.135814,0.061638,0.024091,0.135814,54900.0,550.0,1.5309,unknown
122,0.118344,0.048925,0.021264,0.118344,54900.0,550.0,1.6648,unknown
